geneID,symbol,entity,0_R1,0_R2,0_R3,1_R1,1_R2,1_R3,4_R2,4_R3,7_R1,7_R2,7_R3,20_R1,20_R2,20_R3
gene-b3930,menA,host,17.540458327377337,17.269677681077706,16.812862669153635,15.378582037558951,17.54047518555048,16.230620224975553,5.9806530591414,5.498335708913513,1.769039351880718,2.1138965194814436,1.5585081053586527,0.9172755581117464,1.387604118725671,0.8975964877389999
gene-b1753,ynjA,host,19.28310029098812,20.101228092302467,23.60586123706721,20.15478583965957,28.43230741558711,25.478965360526548,2.537357678248491,2.3343426358615895,0.9956888155394206,1.581015226718103,1.649123002850544,0.9043576054834812,1.126635810104505,1.0179495279349804
gene-b2279,nuoK,host,171.8307605466876,142.2185153244106,142.48508874120915,108.12406246832822,124.15650515803424,118.9189286849587,50.79285808714749,52.357598811212114,18.64205495232717,19.35176582209009,22.653815439831707,8.531960980650405,13.855754748276388,13.320692667532004
gene-b2131,osmF,host,4.67013180318029,4.919408756881894,4.458958457748387,4.3503643650086765,5.369974388036805,3.508413488927147,0.895837715601788,0.8478163579884088,0.3497151659932263,0.5326230336092453,0.4406605270445446,0.2051467049626152,0.2921667912894643,0.1758679685517297
gene-b4145,yjeJ,host,19.163644295808776,17.867987599434006,15.748333409485788,25.39710864055845,29.98965847892514,23.243230494657343,2.9258148051427857,2.6165147097949766,1.1868152893268726,1.5466142780265255,1.4539626650957436,0.8855392248699724,0.8493603200681049,0.8136575881907878
gene-b2652,ileY,host,0.093549380189393,0.084766447158525,0.203243488789127,0.0647938621435194,0.0930611736052591,0.1242754893824325,0.073610725288439,0.0769979636558527,0.1141673265938057,0.0498722913967041,0.0844875446589164,0.075089583395407,0.0720217815262428,0.1634076873790363
gene-b1125,potB,host,17.542542467689234,17.264918737442382,21.17365138037452,13.756018645513285,15.195945550876155,23.16747275255405,6.384930302192869,7.724718411792723,2.9236763201631124,2.110296620018026,2.7684976590407255,0.9028887587979134,1.4477421880709969,1.4548810040558646
gene-b0918,kdsB,host,147.7629366605956,160.0558466585609,155.9331932006283,126.69446583234112,142.69330120852663,143.5453439797396,41.94687964910522,44.44112186652422,16.319661490878953,17.93666640781597,16.306209221640295,7.784789419643777,9.679650305366362,6.965936274294555
gene-b0134,panB,host,151.07554169181853,162.95245903046444,160.62422397270217,149.02457890268053,152.3688839567708,131.8133058579305,27.479485598871637,32.99851849214876,11.121477283937976,13.211201357207926,14.950150732626074,6.2954351100259975,8.475559487382608,5.1394286983967605
gene-b4710,insB9,host,114.165139234781,86.93202805855114,101.04588784299436,130.28965779359368,126.28327400159375,103.46329016450626,26.384771319061706,30.66413347846852,11.827191381182114,11.72434240842677,13.262532903243716,4.585828128790928,6.15786232049376,4.016457204864092
gene-b1312,ycjP,host,0.4807306227526107,0.6342903305764838,0.5680209485019969,0.4264250856135775,0.3943232646713946,0.4369543897147449,0.1393626542827387,0.0763585974096,0.0308779958047303,0.0674429563371799,0.0076169079407801,0.0203089264699321,0.0973960034874458,0.0441956734548283
gene-b3790,rffC,host,68.83294098498367,58.66742318806288,62.90732244708087,55.97690536484309,71.26086987909913,52.73773078616519,14.562055361801256,14.816005202187814,6.440052040571477,6.811298961895348,5.812242405602139,3.339539694118694,5.570964825256577,3.3669246163965
