geneID,symbol,entity,0_R1,0_R2,0_R3,30_R1,30_R2,30_R3,45_R1,45_R2,45_R3,75_R1,75_R2,75_R3,135_R1,135_R2,135_R3
gene-FTB24_14150,gene-FTB24_14150,host,105.9811143140311,117.07883524920658,81.37718016469991,61.15102266686767,77.49069378416635,65.37499405814893,79.68844960873446,85.06531880422637,74.59299415144207,64.70987422267831,70.38850490549534,67.00244020581465,72.8930590637116,76.31282366221211,77.74970162787315
gene-FTB24_16875,gene-FTB24_16875,host,5445.241326011874,4019.8896329070417,7327.378266130105,8542.772469493311,4474.265776646195,5196.174334244621,3024.002352349763,2806.9601178163366,3142.9760204192025,2681.318876355156,2464.8965473691474,3093.433174380895,3975.928559153659,3592.072866544043,3560.325045765118
gene-FTB24_06180,gene-FTB24_06180,host,0.8589121956462837,1.4129779017094777,4.8857490239046415,2.475899600076588,1.4683136471102909,2.9337451843318334,3.0976479475002097,2.0105692959038746,1.9797279716985856,2.400501466783711,2.291277714558524,3.2574031757449933,5.1912638169725875,9.968873365130223,7.830617391776599
gene-FTB24_16285,gene-FTB24_16285,host,170.49370811948847,191.00171330980075,151.86992143622143,164.82034729541436,232.2705275450661,240.36750360353028,237.58378948336457,231.2408038235008,261.32744647199667,198.8700967627448,230.98453548539675,257.7067327929467,157.45463167467904,143.7988044378298,169.0809561674362
gene-FTB24_12675,gene-FTB24_12675,host,7.7807296309520195,5.980853780868055,8.629452162014978,6.414299629601064,7.613364495479664,8.229871945396853,7.708774911400842,5.682962531139932,6.018461715012788,5.91905025978028,6.122055958315192,6.715764899460218,8.802158258918148,12.500243565512015,9.239738896894096
gene-FTB24_18330,gene-FTB24_18330,host,53.47325464582821,40.22348202969044,59.10104763538445,64.28305616334512,66.97085556381134,70.43489596026049,59.93257936064902,58.86401601280263,53.128935307058015,49.96106167132406,42.019916390787685,41.30340357734209,73.03811970735676,67.96137242300577,64.90018949946625
gene-FTB24_08785,gene-FTB24_08785,host,117.75025197963924,152.94583490496126,142.97713656939504,67.89355715594634,80.56338702306752,88.37550095347933,62.430731769025414,57.908756169383736,76.14594910952783,69.39504976211092,77.66940902262857,76.85202636675858,75.2022121431303,73.54096661874833,79.21135523868126
gene-FTB24_10040,gene-FTB24_10040,host,19.798278229739196,24.224554673476224,14.477935935367292,16.30779900803625,21.632580560544465,21.40935782797587,24.93014912174663,19.123120432527788,21.476309870321668,17.54736761142132,15.475270714354169,18.394857349784427,25.09869918384956,19.50075069890405,22.78498548140363
gene-FTB24_15385,gene-FTB24_15385,host,6.323134315000436,3.0824085787932427,18.801599682602465,8.864141050723749,5.569048631908761,9.746775115805384,5.955932189966312,6.812449483799418,8.535272977654499,4.723474776147373,7.6001352900368255,12.317933873773578,7.469579994014625,22.9469168913737,21.918367956959035
gene-FTB24_04745,gene-FTB24_04745,host,68.3511128029805,62.08166784658088,73.2402183714449,84.62391167036174,106.97743518453308,95.26632019369968,156.094731748189,176.42183900817076,145.8465082292335,135.64443530829936,200.37684706852824,190.3042349110101,121.13181302357516,109.07946191654918,104.5669929495114
gene-FTB24_02990,gene-FTB24_02990,host,11.56694751757138,12.012087573617508,10.13153974597776,13.45087127131116,18.28085368509706,17.862517849712773,17.51906287320658,17.728945825902926,18.955526659979583,16.533001694247194,17.75627641430645,16.99439634242826,15.602118701894252,16.621003344854195,17.023421455951045
gene-FTB24_06885,gene-FTB24_06885,host,210.47933847984444,187.6000017905214,282.36332429408213,230.65392587544892,180.1799784340615,217.7581839321225,180.22526496405612,185.07228856100613,167.95632322500236,212.9015849457883,169.08183743200385,168.69051573403038,307.53349901380375,273.0246428413782,260.8092687921956
gene-FTB24_13870,potA,host,9.295876749323382,7.942424958674145,16.03538731550693,13.908366785260348,10.561988784654549,13.21267332372454,16.21565292793127,12.598983625503193,12.611821265489484,18.85511852350454,12.883065879331856,13.11781866614565,40.48241688164677,40.37216187206676,31.532762351251097
gene-FTB24_11160,gene-FTB24_11160,host,14.066235660732527,8.241999249187066,10.634566995361396,16.48627277683679,12.176783189673664,15.652821795786224,14.859264405380827,15.150282883329862,15.207078954900124,16.96214619165389,14.61453392398964,15.609967331509468,19.20960011229603,18.021793869141817,21.6702555382001
gene-FTB24_18670,gene-FTB24_18670,host,4.11097872314091,2.2914773388835448,14.265511736255396,5.660992142685899,2.5362113762531684,7.481801478035079,4.789016981527832,3.013345145862032,5.251914108647005,3.0796359490165934,4.303704408811101,6.804282144553389,4.006315451114444,14.61637427775722,12.741271372424476
gene-FTB24_08325,gene-FTB24_08325,host,5.284776474056738,3.3614197001495274,10.631856963376396,6.8790509149498416,4.531955391782895,6.470677783707146,6.629519759069645,4.332008585188431,5.4300897115301945,7.077982355890223,5.08592588567537,6.710008529546395,6.689614770668667,12.461718521890967,10.961299651062234
gene-FTB24_06865,gene-FTB24_06865,host,152.33228741273933,92.89937642953822,138.64085885770334,183.57885895048045,114.96028970301718,135.90221407752207,130.2522419760436,115.31732227040362,116.2767300083992,155.2247622618332,112.53519077352504,123.4789625746578,198.80646251663168,238.95176581592813,161.9038235700764
gene-FTB24_12505,gene-FTB24_12505,host,9.633744897113722,8.45796631304969,15.681334203362058,9.114575450831396,10.959152583504345,13.051701016909336,14.49699239430098,14.809031910689828,13.23794005171946,13.26592915854156,17.00369251330273,23.657782188804877,18.844998787640215,36.64614011688716,29.83620507631594
gene-FTB24_17655,gene-FTB24_17655,host,373.1967381177017,138.57971926291506,180.12592201185186,336.1796238357318,197.5570652383153,210.34332909477723,255.93093410451735,234.6107937482309,186.50744804777665,238.71091954427072,170.33523552799753,170.97800172833757,332.41430069349366,299.4608175867443,265.6443839717839
gene-FTB24_00425,gene-FTB24_00425,host,110.20308488660662,116.44081110494356,97.56808832096412,98.03155961381783,115.27353319982755,114.5899421832633,135.80286534617116,122.72664450470164,120.8263515488215,104.70376273304645,82.95411651058552,89.56092575237211,99.32636279039409,86.25230905040472,97.08203678661644
gene-FTB24_06985,gene-FTB24_06985,host,110.72648514962746,104.01888903998945,66.08414110662866,118.48078951605818,125.67233848110298,116.45819780773768,99.30818391511978,96.00678572903236,100.16277308752326,80.27957748907998,73.3835285226889,78.92366909845647,76.23895045868373,68.20916886570929,80.17910133060083
