geneID,symbol,entity,0_R1,0_R2,5_R1,5_R2,10_R1,10_R2,15_R1,15_R2
gene-PA1883,gene-PA1883,host,8.200686363257205,2.845770072944447,3.115943779827876,1.7625251472640866,0.2498725282293262,1.6094322294036003,0.5821996741946603,0.2296288723836746
gene-PA4234,uvrA,host,23.24105723033041,17.058485473770492,21.855157939861556,21.20433266491815,4.953339875142236,6.626573502671272,3.2468196770538724,2.873273744614753
gene-PA3918,moaC,host,42.429638140330766,18.165686434012972,10.010157553553322,15.18398993326266,5.160410909083912,2.8489949402486094,3.3666328986039056,1.32785391421864
gene-PA2388,fpvR,host,16.771885664613382,14.198460158576331,6.2412729324865595,8.170259643492258,1.7016921274894778,1.7500151651045175,0.6996917771194864,0.8279089163953569
gene-PA4064,gene-PA4064,host,2.198481876107251,2.196251951846875,1.3716045669124126,2.422534564111915,0.7070860905212848,0.1301243079092272,0.1098334137133189,0.1299601703277818
gene-PA3595,gene-PA3595,host,2.8091712861370426,2.2694603502417707,1.0776893025740384,1.0687652488729036,0.6363774814691563,0.1951864618638409,0.0549167068566594,0.0649800851638909
gene-PA4172,gene-PA4172,host,1.5049948756539442,0.6443435813782966,1.2072175027131722,0.6271156891014541,0.1244683380318366,0.3435866557153754,0.0966698585117226,0.1143844195768866
gene-PA0791,gene-PA0791,host,159.99133737594192,33.8846324585957,70.90845445729975,29.66805637619054,15.28972850492223,4.999643085257573,0.8832611026755495,1.741861598499737
gene-PA0075,pppA,host,19.607402374701387,9.770157859862024,13.453981304487716,16.123841162008496,1.5043765794218282,2.1392864613060203,1.1683924874441538,1.3824981082194072
gene-PA0509,nirN,host,1.278244635568431,1.6019894466575384,1.2117559143775074,1.287999146077602,0.0672733729848186,1.052321073071585,0.1567460661293316,0.6800547374439594
gene-PA4747,secG,host,1324.2846832604505,1200.3080058369285,774.6475924635163,1135.2424473527983,196.58625053623692,284.8571243565188,112.97211472828027,73.06260806466103
gene-PA1582,sdhD,host,234.7529811790945,161.96911752197562,250.44925898621943,284.5116812921012,43.50016623556555,43.50700945339001,26.23054087665645,23.091703435070496
gene-PA4246,rpsE,host,1309.310781458245,1347.6789397214156,1858.6884521863087,2183.135414892324,458.6956384228946,575.145545021422,238.47991005699404,174.6485702144457
gene-PA4374,gene-PA4374,host,22.99237529433121,15.241716684390912,6.71769193912199,8.971580258885366,2.0274802754734984,1.0544555985747728,0.7531017889892027,0.7290868971969722
gene-PA2900,gene-PA2900,host,65.69660964342717,33.51588935404842,48.945962971115165,44.27854842182334,8.98523102436492,10.759352496568514,4.684191699662471,4.637652744845103
gene-PA0450,gene-PA0450,host,11.565847865370143,4.770048139408647,4.340818783851404,4.766311072915636,0.921433814819789,0.6217584767936275,0.1431285705506281,0.1693565990408247
gene-PA1108,gene-PA1108,host,4.015361975791741,3.8330096672560745,1.7893804953242984,2.168910479146221,0.258287924257775,0.2376622722176301,0.3343374640237039,0.0791208290855666
