geneID,symbol,entity,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-b2956,yggM,host,1.2347503241753826,1.3879378415610113,1.1989530971697,0.9421233694786604,0.7928847390683178,0.9931548935705208,0.9448454050486128,0.8413620135310109,0.5726416678479077,0.6275016483790613,0.73487539048321,0.8311399939619953
gene-b3026,qseC,host,4.885825596466098,5.181634608494442,3.764822218546389,4.0101905291988995,2.374887255226238,2.581505772480848,1.3584950793470305,1.7792158943480958,1.597253387713704,1.7371819992869355,2.6738577170766873,2.5387548906475494
gene-b3213,gltD,host,551.4342375498761,468.37989133468966,381.6999427675344,397.3905769745801,312.49080620033004,350.1227395132821,73.74657637727813,91.7109099593147,119.62646001687952,111.9111074439972,209.2991401067276,199.05954610722148
gene-b0958,sulA,host,6.068492942722924,7.0433983946943535,4.64200631851811,4.797911919584583,3.080188341305562,3.793052249871809,1.990927527293489,3.570060650750754,2.328665346250477,1.7744951591446974,3.573511702741884,3.6907949250590426
gene-b1281,pyrF,host,85.0549233349015,69.51217234702663,79.7037420105783,78.5513180311914,69.47155167071931,83.58309990049209,56.26029684566826,72.54282691183496,62.97613497711725,56.052732610328626,28.662131761068725,27.613750930214053
gene-b2736,ygbJ,host,1.281363178579843,1.396480140291518,1.3902413778293985,0.8617123194422147,0.7579642435613827,1.0847590708305428,0.6494314215210168,0.8155555071269233,0.6788022774899063,0.610201145963736,0.6855603202747659,0.7780248368321109
gene-b0365,tauA,host,1.0851041881303376,1.1947694276433258,0.6590072074231099,0.5974472230488864,0.3720400193630263,0.3048345566099384,0.4985852944537052,0.2648192573796058,1.1505736121417194,0.9397637914473476,0.4029223324767755,0.869978311436855
gene-b2822,recC,host,12.3849806755103,11.670823285569178,9.26624500319798,10.001666098212024,5.707153529445107,6.914893892713904,4.408662024342869,6.27927485419972,4.64176123208039,4.6070372408974105,4.610366949615057,4.957370254603725
gene-b3397,nudE,host,113.4090401554026,113.37801243680931,88.77751011787653,91.79419946071044,81.4997202268888,79.8191292341259,41.207569750958264,59.80406603878299,31.73087416957862,33.00942607871318,36.99265780257728,32.56355585482991
gene-b1739,osmE,host,351.0278714416279,394.4837366393796,236.284891624056,266.49707007322314,162.67468841203436,176.3199182452204,64.52451750835309,95.6087990424026,53.48896062300066,52.61684618337417,147.51268605192175,147.28629827031105
gene-b2336,yfcS,host,0.3623989702332928,0.6384484181273438,0.5789628883784045,0.4510750910255812,0.2561979538794729,0.3498637494649769,0.1567949965903331,0.2914165032796792,0.378876531440517,0.3230777717673376,0.2966827605669268,0.6791205455915471
gene-b4176,yjeT,host,6.487691542871916,5.156172030565723,7.385829789123432,7.597002777640797,5.985161290521972,6.424619215824612,2.424937568479385,3.983766228085804,1.775967053471881,1.9167323077760416,1.2470612686987808,3.132230059889834
gene-b2360,yfdQ,host,0.233960275328438,0.2160681612808493,0.3277636163022323,0.1596420860186268,0.1447573893521593,0.3923199426468047,0.1812740215125572,0.1365862706772275,0.1367159543050052,0.2005196875827243,0.1567734166364181,0.4615917982995544
gene-b0018,mokC,host,10.554143947390006,8.411224849861636,7.174009764982533,6.2386446773068664,6.693040831859455,6.272557222550657,5.809627945092297,7.879384674970138,5.1498257577494595,5.143582742405598,3.975325921852032,4.507585214006873
gene-b0208,yafC,host,6.30661149182395,6.275422279823575,3.636761570646883,3.734853461945701,2.7810577891300725,2.4761176708036037,2.2107923158584963,2.534329379563226,2.9221881650631047,2.967188626766543,4.176341016953762,4.387824611938855
gene-b2384,ypdE,host,0.5193806191888537,0.9315077280653188,0.6751884097767762,0.5676351932895349,0.2566563317215364,0.4278391631566344,0.3563989546774875,0.4056657947935607,0.3515519906261821,0.4031188890965174,0.3058440931490817,0.4088003333412652
gene-b3008,metC,host,37.35184759613736,36.488783549638384,25.246531386091732,27.009620474423382,15.736179878827151,18.925382246221023,11.163988532480229,14.402463117829004,10.080567709172154,9.968646233177106,10.461458420750882,10.962805209614418
gene-b1822,rlmA,host,35.3741661499942,31.003113635637916,36.18344336355388,37.594466484786096,35.963550555503346,37.1800021443336,21.05764547170969,29.045882522135376,13.392355327753366,12.890707366769584,9.624145854624558,9.38936332572824
gene-b4087,alsA,host,0.4124578036949486,0.7646247716559736,0.6803591979435489,0.2577391799713643,0.413483586174503,0.4468122953049783,0.2105123691991022,0.2901526246490697,0.3505638174449165,0.1840847828332251,0.2684476312267433,0.447138826141447
gene-b1373,tfaR,host,0.93596715749658,0.9659297140593526,0.9868095697024584,0.878512850006561,1.004776350371058,0.8232731354597738,0.2049767924175709,0.4221519193765736,0.4261902068178393,0.4223568787166758,0.3878509005328053,0.6233549954714964
gene-b3603,lldP,host,4.015163458246199,3.9501591683440305,3.575674692412792,3.394753645528629,2.0137132653399257,2.8317414127891736,2.0010488024996493,2.4460637194841977,1.4623682772127975,1.3691708207441455,1.1999414588566424,1.8725288401515308
gene-b3255,accB,host,226.7341247204737,239.01680197739813,234.107282564292,219.7727788776207,203.0592967417766,235.35273940510453,118.9690525530242,201.85852797094353,100.98616935686027,101.00925701115898,73.8682388259811,67.66162943318173
gene-b1569,dicC,host,1.0084494626225775,1.192584007069623,1.2661422495640169,0.2700711981518123,0.4374536491411409,0.684278969732799,0.3748147061349868,0.6418527757388512,0.3159402305367766,0.3791338630765796,0.254502299734445,0.8949228742542382
gene-b3647,ligB,host,1.5067421382713808,2.198554522836925,1.6952159826756112,1.6516118806364648,0.9115567127379566,1.0689063644845682,0.7623236714795366,0.8774505004806414,0.7371938712524788,0.6649297598619752,0.8313741791325204,1.6097529100362613
gene-b4207,fklB,host,65.15363006387358,57.83563624623057,51.79896311170963,61.917627527323646,41.9680773830624,48.495654970869914,26.78204984754875,40.999322782803944,21.100839068458633,22.39250475357235,17.85475022803651,17.71346580017027
gene-b0761,modE,host,15.681964305071554,14.972784180013228,11.463587798387804,11.588188043047117,8.813942535357056,10.77067240191588,6.215083397166076,8.546550367020638,4.868843172492607,5.019719533146147,5.767235003640097,5.309183231392213
gene-b0049,apaH,host,33.120925589123736,31.083827116648877,28.809943403310637,33.52438954709383,20.977537089597416,24.93843746987044,14.48171980251798,17.820299961975984,11.451427928886371,11.993612672089997,12.566979394075869,11.964543892375588
